Date,site_no,Mean Flow,Peak Flow,Median  Flow,Coeff Var,Skew,Tqmean,R-B Index,7Q,3xMedian,Median Flow,Station
2001-10-01,3335000.0,865.8806559718713,21000.0,0,134.79403621057855,2.3681349372037053,0.29863013698630136,0.27858188467041195,94.32857142857142,56.0,414.0,Wildcat
2002-10-01,3335000.0,865.8806559718713,21000.0,0,252.7825827076262,5.090371761564106,0.20821917808219179,0.29008329850369674,99.05714285714286,71.0,414.0,Wildcat
2003-10-01,3335000.0,865.8806559718713,21000.0,0,170.30879203693797,5.568310423239502,0.23770491803278687,0.29572760257404956,167.71428571428572,40.0,414.0,Wildcat
2004-10-01,3335000.0,865.8806559718713,21000.0,0,222.77911697410508,5.3640003724960295,0.2,0.25593097575679596,70.32857142857145,56.0,414.0,Wildcat
2005-10-01,3335000.0,865.8806559718713,21000.0,0,96.37576024463105,3.5513885265215968,0.29041095890410956,0.24056263901506844,137.57142857142858,44.0,414.0,Wildcat
2006-10-01,3335000.0,865.8806559718713,21000.0,0,172.3794214845866,3.0127092110072407,0.3041095890410959,0.2856541746449627,77.15714285714283,68.0,414.0,Wildcat
2007-10-01,3335000.0,865.8806559718713,21000.0,0,148.45511614617592,2.859998006235285,0.3442622950819672,0.2857480004978634,83.24285714285715,60.0,414.0,Wildcat
2008-10-01,3335000.0,865.8806559718713,21000.0,0,179.63231268110403,3.1534765252896313,0.2821917808219178,0.33605370375693544,92.95714285714287,120.0,414.0,Wildcat
2009-10-01,3335000.0,865.8806559718713,21000.0,0,153.4868272664709,4.526955017274571,0.2958904109589041,0.2739424119923102,110.12857142857142,42.0,414.0,Wildcat
2010-10-01,3335000.0,865.8806559718713,21000.0,0,183.43656381919638,2.8390624868655143,0.2684931506849315,0.2974418349255465,91.28571428571429,103.0,414.0,Wildcat
2011-10-01,3335000.0,865.8806559718713,21000.0,0,145.32757301567804,3.2947009131230636,0.24863387978142076,0.283246725616364,76.41428571428573,82.0,414.0,Wildcat
2012-10-01,3335000.0,865.8806559718713,21000.0,0,243.8099534250847,5.211523852067939,0.21643835616438356,0.30038201078720406,99.1,61.0,414.0,Wildcat
2013-10-01,3335000.0,865.8806559718713,21000.0,0,134.69054079191454,3.2732901992771195,0.23835616438356164,0.29795205783355894,98.17142857142858,67.0,414.0,Wildcat
2014-10-01,3335000.0,865.8806559718713,21000.0,0,126.62159021531694,,0.3081967213114754,0.2713982240590823,146.14285714285714,42.0,414.0,Wildcat
2015-10-01,3335000.0,865.8806559718713,21000.0,0,119.37550432913999,5.241760136603329,0.3087431693989071,0.26559553559108956,125.57142857142857,61.0,414.0,Wildcat
2016-10-01,3335000.0,865.8806559718713,21000.0,0,193.78049955318681,2.9125818869675473,0.2876712328767123,0.3386359847341315,141.28571428571428,80.0,414.0,Wildcat
2017-10-01,3335000.0,865.8806559718713,21000.0,0,139.34329197951706,3.117414744813016,0.23013698630136986,0.3371828519648606,85.6857142857143,67.0,414.0,Wildcat
2018-10-01,3335000.0,865.8806559718713,21000.0,0,162.3828170547769,1.9676023858316618,0.32602739726027397,0.29000325100656166,138.28571428571428,45.0,414.0,Wildcat
1969-10-01,3331500.0,955.6974044463914,9410.0,0,56.231093562610255,2.0684672692593713,0.35342465753424657,0.09801854729638083,197.42857142857142,28.0,671.0,Tippecanoe
1970-10-01,3331500.0,955.6974044463914,9410.0,0,54.28404596432457,2.242461481402194,0.3780821917808219,0.09199628503454155,169.85714285714286,21.0,671.0,Tippecanoe
1971-10-01,3331500.0,955.6974044463914,9410.0,0,76.43131227229273,1.9565378017394355,0.3224043715846995,0.10389366042369469,204.57142857142858,54.0,671.0,Tippecanoe
1972-10-01,3331500.0,955.6974044463914,9410.0,0,80.12221663826683,0.683756503246875,0.5315068493150685,0.07426289075548097,228.14285714285714,2.0,671.0,Tippecanoe
1973-10-01,3331500.0,955.6974044463914,9410.0,0,94.34356405493232,1.2685460094738288,0.3972602739726027,0.0813855326333562,189.28571428571428,27.0,671.0,Tippecanoe
1974-10-01,3331500.0,955.6974044463914,9410.0,0,76.54641172337818,1.962934809608241,0.4,0.09763835037010928,174.57142857142858,27.0,671.0,Tippecanoe
